Registration,trip_count_Charging_window,trip_count_Day,trip_count_Night,total_trips,%_night_trips,%_day_trips,percentage_charging_window,,,,,
RE66ZTH,106,820,420,1346,31,61,8,,,,,
RK69TYA,317,980,421,1718,25,57,18,,,,,
MH19XKC,29,25,422,476,89,5,6,,,,,
LY66BYV,116,14,422,552,76,3,21,,,,,
LN67KEJ,3,14,424,441,96,3,1,,,,,
RO68XJL,3,46,426,475,90,10,1,,,,,
LO69YLD,42,29,426,497,86,6,8,,,,,
RF66HZE,79,726,426,1231,35,59,6,,,,,
LR20FLD,12,13,427,452,94,3,3,,,,,
LK19TPO,292,70,427,789,54,9,37,,,,,
LN67KHF,80,930,427,1437,30,65,6,,,,,
LR20FLC,57,12,428,497,86,2,11,,,,,
LK19TNL,225,78,428,731,59,11,31,,,,,
LT17XUS,8,18,429,455,94,4,2,,,,,
LX68MHU,231,518,429,1178,36,44,20,,,,,
RE18KOH,86,69,430,585,74,12,15,,,,,
LM19VWJ,170,61,432,663,65,9,26,,,,,
RV70NVO,62,22,434,518,84,4,12,,,,,
RX17ZSN,136,101,434,671,65,15,20,,,,,
LM69URE,363,588,434,1385,31,42,26,,,,,
RK69TXL,21,26,435,482,90,5,4,,,,,
WN66YEX,37,29,435,501,87,6,7,,,,,
LK19TNO,296,62,435,793,55,8,37,,,,,
RJ66NTY,234,77,438,749,58,10,31,,,,,
LV18FDU,79,324,438,841,52,39,9,,,,,
RE66XDN,71,399,438,908,48,44,8,,,,,
LN17JTV,34,22,439,495,89,4,7,,,,,
LO69YJP,85,61,439,585,75,10,15,,,,,
LO19YUT,147,78,439,664,66,12,22,,,,,
LK19TMZ,348,21,440,809,54,3,43,,,,,
LT69GXB,21,68,441,530,83,13,4,,,,,
RK69TXN,14,67,442,523,85,13,3,,,,,
MC19LWG,169,315,442,926,48,34,18,,,,,
LN67KHV,17,82,444,543,82,15,3,,,,,
LX17ORK,194,67,444,705,63,10,28,,,,,
MD19CXB,120,197,445,762,58,26,16,,,,,
LK19TKJ,55,20,446,521,86,4,11,,,,,
LN67JYO,59,21,446,526,85,4,11,,,,,
LR69DCY,75,6,447,528,85,1,14,,,,,
LX17NVK,89,407,447,943,47,43,9,,,,,
WN66YEY,70,70,448,588,76,12,12,,,,,
LV18FBF,19,35,449,503,89,7,4,,,,,
LK19TOA,247,42,449,738,61,6,33,,,,,
LR20GXZ,5,11,452,468,97,2,1,,,,,
MD19CZB,60,22,452,534,85,4,11,,,,,
LS21DMX,13,423,452,888,51,48,1,,,,,
AK66HMD,52,52,453,557,81,9,9,,,,,
LY66BXX,177,21,453,651,70,3,27,,,,,
RK69TZA,107,48,454,609,75,8,18,,,,,
LS66HBX,173,740,455,1368,33,54,13,,,,,
LL19YFE,87,90,456,633,72,14,14,,,,,
RV67JUA,122,175,457,754,61,23,16,,,,,
RK69TXE,285,640,457,1382,33,46,21,,,,,
LS17XPG,93,26,458,577,79,5,16,,,,,
LL67TZZ,94,42,458,594,77,7,16,,,,,
LK66ZMY,169,18,458,645,71,3,26,,,,,
RX17ZSG,147,59,458,664,69,9,22,,,,,
LS66HBJ,167,235,458,860,53,27,19,,,,,
RK69TZU,212,62,459,733,63,8,29,,,,,
RE69NKH,380,2004,459,2843,16,70,13,,,,,
RV17PZP,80,164,460,704,65,23,11,,,,,
LY66HSG,394,40,462,896,52,4,44,,,,,
LK19TLN,299,22,463,784,59,3,38,,,,,
RX66NPK,290,340,463,1093,42,31,27,,,,,
RJ19WKY,461,55,465,981,47,6,47,,,,,
RE66ZTL,229,235,467,931,50,25,25,,,,,
RA19YLE,51,43,468,562,83,8,9,,,,,
RK70VOU,98,59,468,625,75,9,16,,,,,
KY66TBO,413,72,468,953,49,8,43,,,,,
RV18LNH,132,844,468,1444,32,58,9,,,,,
RJ66NTV,92,43,469,604,78,7,15,,,,,
LL66ZPP,128,18,469,615,76,3,21,,,,,
MD19CXP,145,66,470,681,69,10,21,,,,,
LR20GKO,98,155,473,726,65,21,13,,,,,
LK19TMY,427,24,475,926,51,3,46,,,,,
LX17NVF,119,91,476,686,69,13,17,,,,,
LS17XTJ,142,29,477,648,74,4,22,,,,,
LR69GUJ,66,67,479,612,78,11,11,,,,,
LX17NWO,76,52,480,608,79,9,12,,,,,
RK69TWN,144,15,480,639,75,2,23,,,,,
LR68HZN,150,186,480,816,59,23,18,,,,,
LL20DLN,80,12,481,573,84,2,14,,,,,
KF19AZX,67,149,481,697,69,21,10,,,,,
LK19TFV,269,64,481,814,59,8,33,,,,,
LK67YDD,396,280,481,1157,42,24,34,,,,,
LV17DZR,67,101,482,650,74,16,10,,,,,
LO19YVD,187,202,483,872,55,23,21,,,,,
LK19TPU,415,28,483,926,52,3,45,,,,,
RV67JUF,32,142,484,658,74,22,5,,,,,
LX17NVP,35,24,485,544,89,4,6,,,,,
RK70VRW,36,210,487,733,66,29,5,,,,,
KY66TAU,243,24,487,754,65,3,32,,,,,
RV69UUJ,170,83,488,741,66,11,23,,,,,
KF19BBE,50,43,489,582,84,7,9,,,,,
RX17ZSF,127,46,489,662,74,7,19,,,,,
LR20CYG,129,89,490,708,69,13,18,,,,,
LR69CYV,76,26,491,593,83,4,13,,,,,
LO69AUY,297,161,493,951,52,17,31,,,,,
LX67KOJ,193,20,494,707,70,3,27,,,,,
LK19TKT,84,133,494,711,69,19,12,,,,,
RK20UZU,471,2501,494,3466,14,72,14,,,,,
KF19AYD,58,24,495,577,86,4,10,,,,,
LV17DZE,212,119,495,826,60,14,26,,,,,
RV69KSE,270,41,497,808,62,5,33,,,,,
RK69TWX,82,23,498,603,83,4,14,,,,,
LR69CYU,42,10,501,553,91,2,8,,,,,
LP69YWY,80,222,502,804,62,28,10,,,,,
LT18UWB,265,473,502,1240,40,38,21,,,,,
RA19NVF,143,37,504,684,74,5,21,,,,,
MD19CXF,94,66,506,666,76,10,14,,,,,
RX67MXU,55,205,506,766,66,27,7,,,,,
LY66HRK,231,19,507,757,67,3,31,,,,,
LO69YLE,79,26,509,614,83,4,13,,,,,
RV66KVH,55,75,509,639,80,12,9,,,,,
LL20DVK,132,31,509,672,76,5,20,,,,,
LV67HVJ,51,157,510,718,71,22,7,,,,,
RE66ZTG,121,65,511,697,73,9,17,,,,,
KD16VNN,180,241,511,932,55,26,19,,,,,
LX68MDO,203,768,511,1482,34,52,14,,,,,
LO19YVB,139,81,512,732,70,11,19,,,,,
LO69AUW,92,351,512,955,54,37,10,,,,,
LN67JZT,32,57,513,602,85,9,5,,,,,
RA19NVE,132,101,513,746,69,14,18,,,,,
RF19NJK,119,140,513,772,66,18,15,,,,,
LX17NUE,246,21,513,780,66,3,32,,,,,
RX17ZSO,93,62,514,669,77,9,14,,,,,
RA19YLG,32,90,516,638,81,14,5,,,,,
LK68TLN,158,121,517,796,65,15,20,,,,,
KF19AYB,170,153,517,840,62,18,20,,,,,
RV69KSF,172,31,518,721,72,4,24,,,,,
RK69TXO,112,44,519,675,77,7,17,,,,,
RK69TWV,113,35,520,668,78,5,17,,,,,
RA19NVL,261,291,520,1072,49,27,24,,,,,
RV67JUH,143,74,523,740,71,10,19,,,,,
LR69GUE,30,38,524,592,89,6,5,,,,,
MD19CXN,182,112,525,819,64,14,22,,,,,
LL20UYA,334,522,525,1381,38,38,24,,,,,
LV67HWU,101,504,526,1131,47,45,9,,,,,
RV18LNA,210,170,527,907,58,19,23,,,,,
RK20UXA,398,1106,527,2031,26,54,20,,,,,
LK19TNU,348,60,528,936,56,6,37,,,,,
RK19YAF,16,72,530,618,86,12,3,,,,,
LM70ACZ,99,23,530,652,81,4,15,,,,,
LX17NVB,82,40,530,652,81,6,13,,,,,
LO69YJS,557,1590,530,2677,20,59,21,,,,,
LM18OJS,32,28,531,591,90,5,5,,,,,
LR20CYF,137,39,531,707,75,6,19,,,,,
LX68MGO,36,45,532,613,87,7,6,,,,,
LK19TFX,295,61,533,889,60,7,33,,,,,
LV68WMK,165,103,534,802,67,13,21,,,,,
LX17OPS,46,117,535,698,77,17,7,,,,,
LX17NVZ,70,108,535,713,75,15,10,,,,,
RK20UYF,148,30,536,714,75,4,21,,,,,
RK69TZX,223,532,536,1291,42,41,17,,,,,
LX18ZSZ,2,16,538,556,97,3,0,,,,,
RK20UWY,485,2196,538,3219,17,68,15,,,,,
RK69TZD,86,76,539,701,77,11,12,,,,,
LL17TTX,19,215,539,773,70,28,2,,,,,
RK70VPZ,123,54,541,718,75,8,17,,,,,
AE66TGY,15,275,541,831,65,33,2,,,,,
LL20DVN,104,18,542,664,82,3,16,,,,,
RK69TWW,122,68,543,733,74,9,17,,,,,
LR69LJO,375,1205,543,2123,26,57,18,,,,,
LX17ORJ,160,55,544,759,72,7,21,,,,,
RV67JUJ,216,252,545,1013,54,25,21,,,,,
LN68LXF,25,35,546,606,90,6,4,,,,,
LO69YLG,275,85,547,907,60,9,30,,,,,
RK19YAH,9,57,548,614,89,9,1,,,,,
RK20UYB,40,46,548,634,86,7,6,,,,,
LY66HRA,203,28,549,780,70,4,26,,,,,
LS68HGC,267,202,549,1018,54,20,26,,,,,
LK19TNN,408,41,550,999,55,4,41,,,,,
LV67HWC,44,40,551,635,87,6,7,,,,,
RX17ZRZ,72,24,551,647,85,4,11,,,,,
LX17NUJ,80,175,552,807,68,22,10,,,,,
LR70MYU,10,4,555,569,98,1,2,,,,,
LK68TKZ,58,58,555,671,83,9,9,,,,,
LV67FRU,213,36,555,804,69,4,26,,,,,
LR68HWJ,52,326,555,933,59,35,6,,,,,
AE66THX,18,153,556,727,76,21,2,,,,,
LM69UYO,17,77,560,654,86,12,3,,,,,
LS17XSA,34,42,561,637,88,7,5,,,,,
RJ16URF,50,141,561,752,75,19,7,,,,,
RX68ZCJ,253,68,561,882,64,8,29,,,,,
LX17NVN,146,195,561,902,62,22,16,,,,,
RO69POU,270,1468,564,2302,25,64,12,,,,,
LS17XSG,92,15,565,672,84,2,14,,,,,
LK68TNO,215,131,565,911,62,14,24,,,,,
KE68BVY,128,56,567,751,75,7,17,,,,,
LY66HRZ,226,26,568,820,69,3,28,,,,,
RX17ZSJ,296,38,569,903,63,4,33,,,,,
LT18UWL,305,58,570,933,61,6,33,,,,,
LT67LUW,42,89,571,702,81,13,6,,,,,
LO69LWP,239,39,572,850,67,5,28,,,,,
RO68XJG,101,378,572,1051,54,36,10,,,,,
RF19NKG,87,70,575,732,79,10,12,,,,,
LM69UWH,121,107,576,804,72,13,15,,,,,
LR20FLH,200,104,576,880,65,12,23,,,,,
MD19CXE,241,203,576,1020,56,20,24,,,,,
RX68ZCE,24,97,577,698,83,14,3,,,,,
RK19YAG,13,153,579,745,78,21,2,,,,,
KF19BDO,119,96,579,794,73,12,15,,,,,
MX19PXL,81,32,580,693,84,5,12,,,,,
RK70VPW,83,68,580,731,79,9,11,,,,,
LR69LUF,140,175,580,895,65,20,16,,,,,
RK70VPR,173,168,581,922,63,18,19,,,,,
LL17TYF,181,174,581,936,62,19,19,,,,,
LY66DZT,190,87,583,860,68,10,22,,,,,
MD19CZF,218,104,583,905,64,11,24,,,,,
RK70VPP,22,28,584,634,92,4,3,,,,,
RX68ZCF,73,68,585,726,81,9,10,,,,,
LK19TOV,404,102,585,1091,54,9,37,,,,,
LL17TUU,251,21,586,858,68,2,29,,,,,
RK19YAD,133,134,590,857,69,16,16,,,,,
LV67HVN,257,420,591,1268,47,33,20,,,,,
LL17TWK,62,515,592,1169,51,44,5,,,,,
LR69GUG,73,37,594,704,84,5,10,,,,,
RK20UYD,148,123,595,866,69,14,17,,,,,
RO69FGP,467,2361,597,3425,17,69,14,,,,,
LR20CXD,153,110,599,862,69,13,18,,,,,
LO69YKE,196,102,599,897,67,11,22,,,,,
RK20UWV,636,1494,603,2733,22,55,23,,,,,
RF66XTR,6,35,604,645,94,5,1,,,,,
LO69AVE,26,22,605,653,93,3,4,,,,,
RA19NVD,201,660,607,1468,41,45,14,,,,,
LR20FEM,5,472,608,1085,56,44,0,,,,,
RX17ZRY,10,111,610,731,83,15,1,,,,,
RX68ZFF,103,157,613,873,70,18,12,,,,,
RV67JUE,147,96,614,857,72,11,17,,,,,
LY66EAO,576,121,617,1314,47,9,44,,,,,
RV70NVU,108,10,618,736,84,1,15,,,,,
LM18OES,26,9,619,654,95,1,4,,,,,
MD19XTK,161,36,619,816,76,4,20,,,,,
LN67KJK,283,26,619,928,67,3,30,,,,,
LM19LZD,329,661,619,1609,38,41,20,,,,,
RK20UYC,334,97,623,1054,59,9,32,,,,,
LO67XMA,310,180,623,1113,56,16,28,,,,,
LK68TLV,45,35,624,704,89,5,6,,,,,
LX17NVV,144,124,624,892,70,14,16,,,,,
RF66XTS,8,39,626,673,93,6,1,,,,,
RF19CUO,111,122,628,861,73,14,13,,,,,
MD19CZE,293,89,628,1010,62,9,29,,,,,
RA19NVR,150,214,630,994,63,22,15,,,,,
LX17NWB,62,16,632,710,89,2,9,,,,,
LL66ZRX,198,109,634,941,67,12,21,,,,,
RV68VKU,63,233,635,931,68,25,7,,,,,
RA19NVO,94,162,637,893,71,18,11,,,,,
RV18LMX,805,2630,643,4078,16,64,20,,,,,
LK68TKO,192,40,645,877,74,5,22,,,,,
LO67XHP,421,147,645,1213,53,12,35,,,,,
LK19TFN,387,98,647,1132,57,9,34,,,,,
RV67JUK,115,52,648,815,80,6,14,,,,,
RX18LBO,140,79,648,867,75,9,16,,,,,
LT67LSN,24,180,652,856,76,21,3,,,,,
LR69LTZ,252,542,653,1447,45,37,17,,,,,
RJ19WLE,442,410,655,1507,43,27,29,,,,,
LM69UYR,204,35,660,899,73,4,23,,,,,
RJ69PBX,261,142,660,1063,62,13,25,,,,,
RE69NBY,388,1988,662,3038,22,65,13,,,,,
LL17TZO,118,24,665,807,82,3,15,,,,,
RO68XJH,88,156,666,910,73,17,10,,,,,
LV68EKJ,37,151,670,858,78,18,4,,,,,
MD19CXG,407,55,671,1133,59,5,36,,,,,
LV18FDE,6,29,682,717,95,4,1,,,,,
RK69TWP,239,39,682,960,71,4,25,,,,,
MD19CXA,285,49,682,1016,67,5,28,,,,,
LT18UXK,186,140,686,1012,68,14,18,,,,,
LM20YXE,189,10,687,886,78,1,21,,,,,
RV68VLF,128,105,687,920,75,11,14,,,,,
LX68MFP,295,391,687,1373,50,28,21,,,,,
LX17NUV,368,30,688,1086,63,3,34,,,,,
RV70NVX,134,6,690,830,83,1,16,,,,,
LK19TLU,275,27,691,993,70,3,28,,,,,
MX19SWO,12,24,697,733,95,3,2,,,,,
RX68ZFC,91,62,700,853,82,7,11,,,,,
RF66DVA,148,71,701,920,76,8,16,,,,,
WR66GZY,503,568,701,1772,40,32,28,,,,,
MD19RSV,72,38,703,813,86,5,9,,,,,
LX17NUP,111,305,703,1119,63,27,10,,,,,
RK69TWY,138,74,708,920,77,8,15,,,,,
RV67JUC,104,92,719,915,79,10,11,,,,,
RK20UZN,765,3012,720,4497,16,67,17,,,,,
RE66ZTK,194,296,721,1211,60,24,16,,,,,
LN17JUH,290,52,724,1066,68,5,27,,,,,
LK19TFF,6,30,731,767,95,4,1,,,,,
LL17TWV,61,21,732,814,90,3,7,,,,,
RF19CUV,76,61,732,869,84,7,9,,,,,
LY66BYS,108,44,736,888,83,5,12,,,,,
RV18LNR,206,752,738,1696,44,44,12,,,,,
LS21DLE,297,70,742,1109,67,6,27,,,,,
LX68OSO,373,557,742,1672,44,33,22,,,,,
LY66DZF,311,15,746,1072,70,1,29,,,,,
RO68XJJ,239,250,747,1236,60,20,19,,,,,
LX67KFO,31,565,752,1348,56,42,2,,,,,
RE69NFC,547,2198,753,3498,22,63,16,,,,,
RV67JUO,287,309,754,1350,56,23,21,,,,,
RJ69PBF,422,98,758,1278,59,8,33,,,,,
RJ19WKX,335,60,761,1156,66,5,29,,,,,
LR67RWE,121,28,763,912,84,3,13,,,,,
RX17ZSE,326,23,764,1113,69,2,29,,,,,
LV67HVG,88,223,766,1077,71,21,8,,,,,
RK20UYA,147,35,769,951,81,4,15,,,,,
RK69TXH,422,29,772,1223,63,2,35,,,,,
MW69YFG,58,1519,777,2354,33,65,2,,,,,
RX17ZRU,187,64,782,1033,76,6,18,,,,,
RJ19WLD,588,99,784,1471,53,7,40,,,,,
LO69YLC,144,133,788,1065,74,12,14,,,,,
LK68TMZ,350,1028,796,2174,37,47,16,,,,,
KF68KNH,132,10,798,940,85,1,14,,,,,
LS17XOU,48,11,811,870,93,1,6,,,,,
RV68VLE,72,153,811,1036,78,15,7,,,,,
LX68MHZ,671,886,816,2373,34,37,28,,,,,
RO69FHC,590,1589,833,3012,28,53,20,,,,,
LN17JGV,40,30,834,904,92,3,4,,,,,
RE66FHW,110,34,835,979,85,3,11,,,,,
LS17XPL,23,12,847,882,96,1,3,,,,,
RK69TXJ,187,34,859,1080,80,3,17,,,,,
RO69XHM,520,1965,886,3371,26,58,15,,,,,
RX68ZFB,130,246,891,1267,70,19,10,,,,,
LO69AUF,47,110,914,1071,85,10,4,,,,,
RK20UWZ,613,1179,929,2721,34,43,23,,,,,
RV67JUW,306,130,984,1420,69,9,22,,,,,
LN17JPV,260,806,1011,2077,49,39,13,,,,,
RX17ZTE,30,529,1024,1583,65,33,2,,,,,
RK19YAJ,144,110,1028,1282,80,9,11,,,,,
LV68EJN,681,347,1032,2060,50,17,33,,,,,
LS17XPY,115,22,1040,1177,88,2,10,,,,,
LN67KAJ,151,59,1040,1250,83,5,12,,,,,
RV17ENT,68,99,1043,1210,86,8,6,,,,,
LP17ATK,28,22,1075,1125,96,2,2,,,,,
LK19TNE,187,43,1075,1305,82,3,14,,,,,
LV66VJK,757,110,1082,1949,56,6,39,,,,,
RE66ZTM,189,108,1095,1392,79,8,14,,,,,
LR70MZY,237,1189,1191,2617,46,45,9,,,,,
LX68MDY,767,336,1483,2586,57,13,30,,,,,
RO69WVP,490,3299,1641,5430,30,61,9,,,,,
RK20UZB,704,895,2008,3607,56,25,20,,,,,
