Registration,trip_count_Charging_window,trip_count_Day,trip_count_Night,total_trips,%_night_trips,%_day_trips,percentage_charging_window,,,,,
KU17WFS,17,241,92,350,26,69,5,,,,,
KF19BDV,65,264,92,421,22,63,15,,,,,
RF66HZY,11,802,92,905,10,89,1,,,,,
LN67KHJ,16,293,93,402,23,73,4,,,,,
MX19PXJ,53,682,93,828,11,82,6,,,,,
LM19VWK,25,42,94,161,58,26,16,,,,,
RO69BNA,92,1103,94,1289,7,86,7,,,,,
RK20UZG,128,905,95,1128,8,80,11,,,,,
KX68VBC,223,1061,96,1380,7,77,16,,,,,
RE69NFY,134,1057,97,1288,8,82,10,,,,,
RO68XJM,26,181,98,305,32,59,9,,,,,
LL17TVC,47,955,98,1100,9,87,4,,,,,
LV68OEZ,42,157,99,298,33,53,14,,,,,
MD19CYZ,101,118,99,318,31,37,32,,,,,
LR20FLJ,128,260,99,487,20,53,26,,,,,
LL67UGX,25,302,100,427,23,71,6,,,,,
RK20UZD,376,2424,101,2901,3,84,13,,,,,
RK20UZA,458,2600,102,3160,3,82,14,,,,,
RO69SFV,405,2194,103,2702,4,81,15,,,,,
LO17OXT,15,88,105,208,50,42,7,,,,,
LK17YUU,92,528,106,726,15,73,13,,,,,
RF66HZA,0,312,109,421,26,74,0,,,,,
LR69CZV,44,729,109,882,12,83,5,,,,,
LR69CZA,25,987,109,1121,10,88,2,,,,,
RE69NBN,403,2374,109,2886,4,82,14,,,,,
KY66TCO,40,119,110,269,41,44,15,,,,,
LN18OLM,43,71,111,225,49,32,19,,,,,
DX69PJJ,40,78,111,229,48,34,17,,,,,
LT18UVU,14,188,113,315,36,60,4,,,,,
MX19RMY,81,67,115,263,44,25,31,,,,,
KU17WFO,42,201,115,358,32,56,12,,,,,
LN17JUT,127,356,116,599,19,59,21,,,,,
RK20UZC,253,1187,116,1556,7,76,16,,,,,
LM69RZS,28,27,117,172,68,16,16,,,,,
KF19AYA,52,256,117,425,28,60,12,,,,,
RO69FGV,128,822,117,1067,11,77,12,,,,,
LN68JYF,154,80,118,352,34,23,44,,,,,
LR69AYC,71,402,118,591,20,68,12,,,,,
