Directorate,Operations,URN,MPS,IRIS,DIR,BTP,EIRF,WAASB,ASIF,SHE,MTR,LORRL,Date Entered,Incident Date,Year,Month,Weekday,Time,Hour,HourGroup,FinancialPeriodInYear,Period,Week,Qtr,Station,Bus Route,Location / Road Name,Area Within Station,Area Within Station (2),HOCO,Line Management,Area Management,Cover Group,Bus Route Journey,Bus Garage,Bus Operator,Boroughs,Ward,Easting,Northing,Description,Classification,Harm Score,Trigger 1,Trigger 2,Trigger 3,Spit,"Hate (D,F,H,R)",Intox,"RS / Beg (B,R)",Youth,Rep Off,"Ped Con (B,E,R,S)",Off Bus,Through Window,Weapon (seen/used),Liquid,Number of Vics,Victim 1 Gender,Victim 1 Job Role,Victim 2 Gender,Victim 2 Job Role,Victim 3 Gender,Victim 3 Job Role,Victim 4 Gender,Victim 4 Job Role,Victim 5 Gender,Victim 5 Job Role,Suspect Number (Aprox),Suspect Gender,CheckForSubject,CheckForAction,Confidence,Date_Created,ReportingLag
,,1212163,,IRIS,,,,,,,,,27/11/2023,26/11/2023,2023,NOVEMBER,SUNDAY,22:27,22,10pm-2am,9,,,,,32,Edgware Road,,,,,,,,,,Barnet,,520873,189511,"At the bus stop Colindale Ave, two young men began beating up an elderly man. They took his scooter and got off the bus. I did code red call for assistance. Police arrived and they took statement of the old man and took him away. The elderly man was injured, his face and cheeks were cut and bloodied.",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27/11/2023 00:15,1
,,1212345,,IRIS,,,,,,,,,27/11/2023,26/11/2023,2023,NOVEMBER,SUNDAY,00:09,0,10pm-2am,9,,,,,247,Whalebone Lane North,,,,,,,,,,BARKING & DAGENHAM,,548455,190762,A passenger became extremely aggressive following a bus stop closure. The passenger managed to damage the assault screen enough to get hold of my wrist. I drove to the best of my ability in order to free myself from the man’s grip. I drove back towards a more populated area whilst attempting to call the police to no avail. Once the passenger left the bus I drove back to North street garage.,Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26/11/2023 18:26,0
,,1212356,,IRIS,,,,,,,,,27/11/2023,26/11/2023,2023,NOVEMBER,SUNDAY,22:00,22,10pm-2am,9,,,,,W8,HERTFORD ROAD,,,,,,,,,,Enfield,,534494,193621,"Pulled up at edmonton green  bus station. I could see someone who has spat at the windshield twice, spat at another driver and walks slowly in front of the my bus many times. This time he was standing with his arms out like he getting ready for a fight. I dropped the passenger off and he let himself in. "" He then told me not to fuck with him and drive the bus "" He then sat down shouting at me at this point he was getting more abusive. Telling me to "" shut the fuck up and drive "" I decided to call a code red at the next stop edmonton green train station. Where he said "" if you've called the police I will fuck you up"" he then tried to get into the cab, I had the handle held. Luckily another passenger who I get on with really well, was trying to get him away from the window. He then decides to keep his legs in the bus, but get the contents of bin and empty it into the bus. At this point he got off and I managed to pull away. He did try and get back on as I was pulling away. Code red was called again to call off the police. This guy has many times been abusive to me and other drivers.",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27/11/2023 02:35,1
,,1212429,,IRIS,,,,,,,,,27/11/2023,26/11/2023,2023,NOVEMBER,SUNDAY,16:34,16,2pm-6pm,9,,,,,,Shelter stop D Crystal Palace,,,,,,,,,,Bromley,,533724,170791,"An IC1 male was standing in the middle of the shelters smoking a rolled up cigarette under the sign stating no smoking. He was standing beside a baby in a pram with the mother looking disturbed by this with other customers. I asked him to stop smoking or walk to the end of the shelter to finish his cigarette politely. He was abusive and swearing at me a lot, calling me a sad shit, swearing and other insults, refusing to budge, during the abuse he asked me why he should move. I explained he was smoking next to a baby and under the no smoking sign. He claimed there was no law or judge that could stop him. IC1 male, about 55, F508, med build, wore a green flat cap, green wax jacket, clean shaven with white stubble, slight double chin, SE London accent, dark trousers, black rimmed reading glasses, possibly shaven or balding under cap. Not intoxicated, just abusive. Got on route 227, mb124, ws121, SK19FBJ towards Penge from stop D soon after, used Oyster. NMCC ref 452, Cad 469726/11/23.",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27/11/2023 07:00,1
,,1212434,,IRIS,,,,,,,,,27/11/2023,25/11/2023,2023,NOVEMBER,SATURDAY,18:40,18,6pm-10pm,9,,,,,,Gate 20 - VCS,,,,,,,,,,Westminster,,528614,178661,"Passenger was late to board Flixbus N80 service. Driver was asked if he could be taken and driver refused him. Passenger was frustrated and pushed past Jamal and kicked G20 door open and shut back on Jamal's hand causing the cut.
Passenger was sent back inside the terminal where he started being abusive and shouting towards Jamal. He pushed Jamal and when Jamal called for assistance he walked away. Jamal was given First aid (Cleaned the wound and given a plaster) and advised to go to A&E as his left thumb looked to be swollen.",Assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27/11/2023 07:00,2
,,9527874,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,02:14,2,2am-6am,9,,,,,,ROCKWARE AVENUE - EALING,,,,,,,,,,Ealing,,514822,183980,"MALE PAX INTOXICATED - KEEPS GOING BACK TO SLEEP WHEN WAKING HIM UP - NON-  VIOLENT -  TOLD DRV CALL MPS - HE SAID HE WANTS GO BACK TO SLEEP - DRV REQ MPS 
*0236 - DRV RECALLED STATES MPS ATTENDED AND REM PAX - DRV CLEAR 

*02:38 CONTROLLER CALLED",DISTURBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,3,24/11/2023 02:40,
,,9527880,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,02:31,2,2am-6am,9,,,,,,HIGH ROAD - LONDON BOROUGH OF HARINGEY,,,,,,,,,,Haringey,,533738,189412,"MALE PAX ARGUING AND BEING VERBALLY ABUSIVE 
*DRV RECALLED - ALL CLEAR",DISTURBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,3,24/11/2023 02:41,
,,9527894,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,03:42,3,2am-6am,9,,,,,N11,[BLANK],,,,,,,,,,Ealing,,517833,180996,"FEMALE A/A 25 Y/O  REFUSING TO LEAVE BUS - HAS BEEN THREATENING TO VANDALISE BUS 

DRIVER CALLED MP ON HIS PHONE",DISTURBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,3,24/11/2023 05:35,
,,9527897,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,04:00,4,2am-6am,9,,,,,N279,HERTFORD ROAD - ENFIELD,,,,,,,,,,Enfield,,534897,194762,"MALE HOLDING DOORS OPEN 

04:02 RECALL - MALE HAS LEFT THE BUS",DISTURBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 04:03,
,,9528044,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,07:09,7,6am-10am,9,,,,,243,MEPHAM STREET - LAMBETH,,,,,,,,,,Lambeth,,531113,180053,"DRIVER REPORTING MEPHAM ST WAS CLOSED FOR LAST FEW DAYS - LOOKS TO BE OPEN NOW - DRIVER ASKING IF THEY CAN GO BACK USING THE STAND 

REFERS TO NOE SO23/46612

NRT
REquesting NTC to assess - NOE not due to finish until 15/12/2023

NTC 1044HRS - CONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,1,24/11/2023 10:44,
